Capability,PrimaryDetection,DefaultBehavior,UnavailableStatus,Fallback,RightsGrantedByFramework
LIVE_SERVER_DMVS,Server version plus isolated source access in TRY/CATCH,Enabled for requested lightweight modules,DENIED_PERMISSION or UNAVAILABLE_VERSION,Return accessible/own-session data where possible and continue other modules,NO
DATABASE_DMVS,Target database accessibility plus isolated source access,Database-by-database best effort,DENIED_PERMISSION or DATABASE_UNAVAILABLE,Skip only affected database/source and return warnings,NO
QUERY_STORE,Database Query Store state and catalog availability,Only when explicitly requested,UNAVAILABLE_FEATURE or DENIED_PERMISSION,No historical claim; use current DMVs/plan cache only where appropriate,NO
PLAN_CACHE_DEEP,DMV availability plus analysis-class policy,Explicit call with independent object/time/row budgets,DENIED_GROUP or DENIED_PERMISSION,Use targeted current-request context where available,NO
CATALOG_DEEP,"Database accessibility, metadata visibility and analysis-class policy",Targeted mode by default; broad mode explicit,"DENIED_GROUP, DENIED_PERMISSION or PARTIAL",Return technical identifiers and visible metadata only,NO
PHYSICAL_STATS_DEEP,DMF availability plus analysis-class policy,Explicit only; LIMITED scan mode default,"DENIED_GROUP, DENIED_PERMISSION or TIMEOUT",Skip physical details and keep catalog results,NO
EXTENDED_EVENTS_READ,Existing session/target plus runtime/catalog access,Optional read-only source,"UNAVAILABLE_OBJECT, UNAVAILABLE_FEATURE or DENIED_PERMISSION",Use live DMVs/Query Store; unavailable history is not synthesized,NO
SQL_AGENT_AND_MSDB,SQL Agent feature and msdb object visibility,Optional infrastructure analysis,UNAVAILABLE_FEATURE or DENIED_PERMISSION,Return server feature/status without inaccessible details,NO
HA_DR_AND_REPLICATION,"Feature metadata, role and optional distributor visibility",Optional; deep topology details explicitly gated,"NOT_APPLICABLE, UNAVAILABLE_FEATURE or DENIED_PERMISSION",Return available topology/status subsets,NO
REGEX_SQL2025,Product major version 17+ and current database compatibility level 170+,Used only for regex:/regexi: patterns,UNAVAILABLE_FEATURE,Caller can use exact lists or like: patterns,NO
OPTIONAL_EXTERNAL_ADAPTER,Trusted configuration plus validated dynamic identifiers and minimal probe,Disabled until separately designed/configured,UNAVAILABLE_OBJECT or DENIED_PERMISSION,Core analysis continues without external context,NO
MODULE_SIGNING,External operating/security decision,Not implemented by framework,NOT_APPLICABLE,Operating organization may implement and re-sign after module changes,NO
